Advanced Reads Report

Report time                      ,5/12/2021 2:22:20 PM                                                               ,
Method                           ,C:\Users\Admin\Desktop\ARES\Default_ARES_Method.MA                                 ,
                                 ,B                                                                                  ,
Batch name                       ,C:\Users\Admin\Desktop\ARES\AS0\20210512_1408_AS0_                                 ,
                                 ,H2N0T1I0G1A0.BAB                                                                   ,
Application                      ,Advanced Reads 4.20(468)                                                           ,
Operator                         ,                                                                                   ,

Instrument Settings
Instrument                       ,Cary 300                                                                           ,
Instrument version no.           ,12.00                                                                              ,
Wavelength (nm)                  ,232.00, 264.00, 268.00, 272.00                                                     ,
Ordinate Mode                    ,Abs                                                                                ,
SBW (nm)                         ,2.0                                                                                ,
Ave Time (sec)                   ,0.500                                                                              ,
Beam mode                        ,Double auto select                                                                 ,
Beam interchange                 ,Normal                                                                             ,
Replicates                       ,1                                                                                  ,
Sample averaging                 ,OFF                                                                                ,
Cell changer                     ,ON                                                                                 ,
Temperature (°C)                 ,22.0                                                                               ,


Comments:

Analysis
Collection time                  ,5/12/2021 2:06:22 PM                                                               ,
ReCalculation Time               ,5/12/2021 2:22:20 PM                                                               ,

       Sample        , F  ,Abs(232.00) ,    Abs(264.00) ,    Abs(268.00) ,    Abs(272.00) ,
___________________________________________________________________________________________
H2                   ,    ,     2.1885 ,         0.1412 ,         0.1323 ,         0.1267 ,
N0                   ,    ,     1.7215 ,         0.1073 ,         0.0980 ,         0.0931 ,
T1                   ,    ,     2.1744 ,         0.0463 ,         0.0373 ,         0.0328 ,
I0                   ,    ,     2.0377 ,         0.1295 ,         0.1220 ,         0.1188 ,
G1                   ,    ,     1.8119 ,         0.1225 ,         0.1092 ,         0.1020 ,
A0                   ,    ,     1.9911 ,         0.1953 ,         0.1887 ,         0.1867 ,

Results Flags Legend
R = Repeat reading             ,                                                                                 ,


