Advanced Reads Report

Report time                      ,5/20/2021 9:33:06 AM                                                               ,
Method                           ,C:\Users\Admin\Desktop\ARES\Default_ARES_Method.MA                                 ,
                                 ,B                                                                                  ,
Batch name                       ,C:\Users\Admin\Desktop\ARES\AS1\20210520_0929_AS1_                                 ,
                                 ,P1I0N0K0Q0R0.BAB                                                                   ,
Application                      ,Advanced Reads 4.20(468)                                                           ,
Operator                         ,                                                                                   ,

Instrument Settings
Instrument                       ,Cary 300                                                                           ,
Instrument version no.           ,12.00                                                                              ,
Wavelength (nm)                  ,232.00, 264.00, 268.00, 272.00                                                     ,
Ordinate Mode                    ,Abs                                                                                ,
SBW (nm)                         ,2.0                                                                                ,
Ave Time (sec)                   ,0.500                                                                              ,
Beam mode                        ,Double auto select                                                                 ,
Beam interchange                 ,Normal                                                                             ,
Replicates                       ,1                                                                                  ,
Sample averaging                 ,OFF                                                                                ,
Cell changer                     ,ON                                                                                 ,
Temperature (°C)                 ,22.0                                                                               ,


Comments:

Analysis
Collection time                  ,5/20/2021 9:29:30 AM                                                               ,
ReCalculation Time               ,5/20/2021 9:33:06 AM                                                               ,

       Sample        , F  ,Abs(232.00) ,    Abs(264.00) ,    Abs(268.00) ,    Abs(272.00) ,
___________________________________________________________________________________________
P1                   ,    ,     1.7805 ,         0.1319 ,         0.1171 ,         0.1091 ,
I0                   ,    ,     2.0331 ,         0.0942 ,         0.0879 ,         0.0844 ,
N0                   ,    ,     1.8057 ,         0.0882 ,         0.0786 ,         0.0734 ,
K0                   ,    ,     1.7790 ,         0.1104 ,         0.0984 ,         0.0915 ,
Q0                   ,    ,     1.7055 ,         0.0715 ,         0.0627 ,         0.0592 ,
R0                   ,    ,     1.9161 ,         0.1260 ,         0.1138 ,         0.1070 ,

Results Flags Legend
R = Repeat reading             ,                                                                                 ,


