Advanced Reads Report

Report time                      ,7/8/2021 1:48:38 PM                                                                ,
Method                           ,C:\Users\Admin\Desktop\ARES\Default_ARES_Method.MA                                 ,
                                 ,B                                                                                  ,
Batch name                       ,C:\Users\Admin\Desktop\ARES\AS7\20210708_1344_AS7_                                 ,
                                 ,Q1L1I2D0A0G2.BAB                                                                   ,
Application                      ,Advanced Reads 4.20(468)                                                           ,
Operator                         ,                                                                                   ,

Instrument Settings
Instrument                       ,Cary 300                                                                           ,
Instrument version no.           ,12.00                                                                              ,
Wavelength (nm)                  ,232.00, 264.00, 268.00, 272.00                                                     ,
Ordinate Mode                    ,Abs                                                                                ,
SBW (nm)                         ,2.0                                                                                ,
Ave Time (sec)                   ,0.500                                                                              ,
Beam mode                        ,Double auto select                                                                 ,
Beam interchange                 ,Normal                                                                             ,
Replicates                       ,1                                                                                  ,
Sample averaging                 ,OFF                                                                                ,
Cell changer                     ,ON                                                                                 ,
Temperature (°C)                 ,22.0                                                                               ,


Comments:

Analysis
Collection time                  ,7/8/2021 1:44:13 PM                                                                ,
ReCalculation Time               ,7/8/2021 1:48:38 PM                                                                ,

       Sample        , F  ,Abs(232.00) ,    Abs(264.00) ,    Abs(268.00) ,    Abs(272.00) ,
___________________________________________________________________________________________
Q1                   ,    ,     2.2129 ,         0.1401 ,         0.1412 ,         0.1371 ,
L1                   ,    ,     2.0632 ,         0.2185 ,         0.2147 ,         0.2091 ,
I2                   ,    ,     2.4174 ,         0.2330 ,         0.2436 ,         0.2381 ,
D0                   ,    ,     2.3356 ,         0.2971 ,         0.3223 ,         0.3182 ,
A0                   ,    ,     2.4253 ,         0.2457 ,         0.2604 ,         0.2575 ,
G2                   ,    ,     2.2369 ,         0.2233 ,         0.2367 ,         0.2254 ,

Results Flags Legend
R = Repeat reading             ,                                                                                 ,


